Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
3800000US0040,40.0,"United States - In metropolitan statistical area - Abilene, TX MSA","Abilene, TX MSA",126555.0,52056.0,919.25,3.63,915.63,138.2,56.9,310M100US10180,10180.0,"United States - In metropolitan statistical area - Abilene, TX MSA",165252.0,69721.0,2757.71,14.23,2743.48,60.2,25.4
3800000US0120,120.0,"United States - In metropolitan statistical area - Albany, GA MSA","Albany, GA MSA",120822.0,48469.0,696.65,11.28,685.37,176.3,70.7,310M100US10500,10500.0,"United States - In metropolitan statistical area - Albany, GA MSA",157308.0,66060.0,1957.96,25.41,1932.56,81.4,34.2
3800000US0160,160.0,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy, NY MSA",875583.0,386262.0,3288.62,66.42,3222.19,271.7,119.9,310M100US10580,10580.0,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY MSA",870716.0,393297.0,2878.22,66.66,2811.55,309.7,139.9
3800000US0200,200.0,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738.0,298583.0,5951.18,8.18,5943.0,119.9,50.2,310M100US10740,10740.0,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077.0,374404.0,9297.16,14.66,9282.5,95.6,40.3
3800000US0220,220.0,"United States - In metropolitan statistical area - Alexandria, LA MSA","Alexandria, LA MSA",126337.0,52038.0,1361.96,39.42,1322.54,95.5,39.3,310M100US10780,10780.0,"United States - In metropolitan statistical area - Alexandria, LA MSA",153922.0,64570.0,2026.31,65.32,1960.99,78.5,32.9
3800000US0240,240.0,"United States - In metropolitan statistical area - Allentown-Bethlehem-Easton, PA MSA","Allentown-Bethlehem-Easton, PA MSA",637958.0,266112.0,1112.94,11.44,1101.5,579.2,241.6,,,,,,,,,,
3800000US0280,280.0,"United States - In metropolitan statistical area - Altoona, PA MSA","Altoona, PA MSA",129144.0,55061.0,527.11,1.31,525.8,245.6,104.7,310M100US11020,11020.0,"United States - In metropolitan statistical area - Altoona, PA MSA",127089.0,56276.0,527.07,1.27,525.8,241.7,107.0
3800000US0320,320.0,"United States - In metropolitan statistical area - Amarillo, TX MSA","Amarillo, TX MSA",217858.0,87859.0,1844.4,20.73,1823.68,119.5,48.2,310M100US11100,11100.0,"United States - In metropolitan statistical area - Amarillo, TX MSA",249881.0,102546.0,3682.35,33.11,3649.24,68.5,28.1
3800000US0380,380.0,"United States - In metropolitan statistical area - Anchorage, AK MSA","Anchorage, AK MSA",260283.0,100368.0,1961.09,263.88,1697.21,153.4,59.1,310M100US11260,11260.0,"United States - In metropolitan statistical area - Anchorage, AK MSA",380821.0,154361.0,27218.61,906.03,26312.58,14.5,5.9
3800000US0450,450.0,"United States - In metropolitan statistical area - Anniston, AL MSA","Anniston, AL MSA",112249.0,51322.0,612.32,3.86,608.46,184.5,84.3,,,,,,,,,,
