MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Abilene, TX MSA",126555,130424.7,134294.4,138164.1,142033.8,145903.5,149773.2,153642.9,157512.6,161382.3,165252,138.2,130.4,122.6,114.8,107,99.2,91.4,83.6,75.8,68,60.2
"Aguadilla, PR MSA",146424,162410.8,178397.6,194384.4,210371.2,226358,242344.8,258331.6,274318.4,290305.2,306292,1242.9,1204.05,1165.2,1126.35,1087.5,1048.65,1009.8,970.95,932.1,893.25,854.4
"Akron, OH PMSA",694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
"Albany, GA MSA",120822,124470.6,128119.2,131767.8,135416.4,139065,142713.6,146362.2,150010.8,153659.4,157308,176.3,166.81,157.32,147.83,138.34,128.85,119.36,109.87,100.38,90.89,81.4
"Albany--Schenectady--Troy, NY MSA",875583,875096.3,874609.6,874122.9,873636.2,873149.5,872662.8,872176.1,871689.4,871202.7,870716,271.7,275.5,279.3,283.1,286.9,290.7,294.5,298.3,302.1,305.9,309.7
"Albuquerque, NM MSA",712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
"Alexandria, LA MSA",126337,129095.5,131854,134612.5,137371,140129.5,142888,145646.5,148405,151163.5,153922,95.5,93.8,92.1,90.4,88.7,87,85.3,83.6,81.9,80.2,78.5
"Allentown--Bethlehem--Easton, PA MSA",637958,656279.5,674601,692922.5,711244,729565.5,747887,766208.5,784530,802851.5,821173,579.2,577.79,576.38,574.97,573.56,572.15,570.74,569.33,567.92,566.51,565.1
"Altoona, PA MSA",129144,128938.5,128733,128527.5,128322,128116.5,127911,127705.5,127500,127294.5,127089,245.6,245.21,244.82,244.43,244.04,243.65,243.26,242.87,242.48,242.09,241.7
"Amarillo, TX MSA",217858,221060.3,224262.6,227464.9,230667.2,233869.5,237071.8,240274.1,243476.4,246678.7,249881,119.5,114.4,109.3,104.2,99.1,94,88.9,83.8,78.7,73.6,68.5
"Anchorage, AK MSA",260283,272336.8,284390.6,296444.4,308498.2,320552,332605.8,344659.6,356713.4,368767.2,380821,153.4,139.51,125.62,111.73,97.84,83.95,70.06,56.17,42.28,28.39,14.5
"Ann Arbor, MI PMSA",578736,555341.5,531947,508552.5,485158,461763.5,438369,414974.5,391580,368185.5,344791,285.3,305.61,325.92,346.23,366.54,386.85,407.16,427.47,447.78,468.09,488.4
"Anniston, AL MSA",112249,112881.3,113513.6,114145.9,114778.2,115410.5,116042.8,116675.1,117307.4,117939.7,118572,184.5,185.62,186.74,187.86,188.98,190.1,191.22,192.34,193.46,194.58,195.7
"Appleton--Oshkosh--Neenah, WI MSA",358365,322528.5,286692,250855.5,215019,179182.5,143346,107509.5,71673,35836.5,,256.2,230.58,204.96,179.34,153.72,128.1,102.48,76.86,51.24,25.62,
"Arecibo, PR PMSA",174300,156870,139440,122010,104580,87150,69720,52290,34860,17430,,813.7,732.33,650.96,569.59,488.22,406.85,325.48,244.11,162.74,81.37,
"Asheville, NC MSA",225965,245854.3,265743.6,285632.9,305522.2,325411.5,345300.8,365190.1,385079.4,404968.7,424858,204.4,204.86,205.32,205.78,206.24,206.7,207.16,207.62,208.08,208.54,209
"Athens, GA MSA",153444,157353.7,161263.4,165173.1,169082.8,172992.5,176902.2,180811.9,184721.6,188631.3,192541,259.9,252.7,245.5,238.3,231.1,223.9,216.7,209.5,202.3,195.1,187.9
"Atlanta, GA MSA",4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,671.5,604.35,537.2,470.05,402.9,335.75,268.6,201.45,134.3,67.15,
"Atlantic--Cape May, NJ PMSA",354878,319390.2,283902.4,248414.6,212926.8,177439,141951.2,106463.4,70975.6,35487.8,,434.8,391.32,347.84,304.36,260.88,217.4,173.92,130.44,86.96,43.48,
"Auburn--Opelika, AL MSA",115092,117607.5,120123,122638.5,125154,127669.5,130185,132700.5,135216,137731.5,140247,189.1,193.27,197.44,201.61,205.78,209.95,214.12,218.29,222.46,226.63,230.8
"Augusta--Aiken, GA--SC MSA",477441,485384.6,493328.2,501271.8,509215.4,517159,525102.6,533046.2,540989.8,548933.4,556877,195,192.53,190.06,187.59,185.12,182.65,180.18,177.71,175.24,172.77,170.3
"Austin--San Marcos, TX MSA",1249763,1296415.6,1343068.2,1389720.8,1436373.4,1483026,1529678.6,1576331.2,1622983.8,1669636.4,1716289,295.9,306.98,318.06,329.14,340.22,351.3,362.38,373.46,384.54,395.62,406.7
"Bakersfield, CA MSA",661645,679443.6,697242.2,715040.8,732839.4,750638,768436.6,786235.2,804033.8,821832.4,839631,81.3,83.5,85.7,87.9,90.1,92.3,94.5,96.7,98.9,101.1,103.3
"Baltimore, MD PMSA",2552994,2568743.5,2584493,2600242.5,2615992,2631741.5,2647491,2663240.5,2678990,2694739.5,2710489,978.5,984.84,991.18,997.52,1003.86,1010.2,1016.54,1022.88,1029.22,1035.56,1041.9
"Bangor, ME MSA",90864,97169.9,103475.8,109781.7,116087.6,122393.5,128699.4,135005.3,141311.2,147617.1,153923,228.7,210.36,192.02,173.68,155.34,137,118.66,100.32,81.98,63.64,45.3
"Barnstable--Yarmouth, MA MSA",162582,167912.6,173243.2,178573.8,183904.4,189235,194565.6,199896.2,205226.8,210557.4,215888,625.8,618.05,610.3,602.55,594.8,587.05,579.3,571.55,563.8,556.05,548.3
"Baton Rouge, LA MSA",602894,622853,642812,662771,682730,702689,722648,742607,762566,782525,802484,380.1,362.02,343.94,325.86,307.78,289.7,271.62,253.54,235.46,217.38,199.3
"Beaumont--Port Arthur, TX MSA",385090,385455.5,385821,386186.5,386552,386917.5,387283,387648.5,388014,388379.5,388745,178.8,179.43,180.06,180.69,181.32,181.95,182.58,183.21,183.84,184.47,185.1
